date,avg_price,activity_count,commodity
2023-06-06,1818.0,8.0,Onion
2023-06-07,1816.125,8.0,Onion
2023-06-08,1832.0,8.0,Onion
2023-06-09,1845.25,8.0,Onion
2023-06-10,2191.6666666666665,6.0,Onion
2023-06-11,2195.0,6.0,Onion
2023-06-12,1823.75,8.0,Onion
2023-06-13,1853.75,8.0,Onion
2023-06-14,1863.75,8.0,Onion
2023-06-15,1843.75,8.0,Onion
2023-06-16,1898.5,8.0,Onion
2023-06-17,962.0,5.0,Onion
2023-06-18,2204.1666666666665,6.0,Onion
2023-06-19,1782.25,8.0,Onion
2023-06-20,1784.5,8.0,Onion
2023-06-21,1763.0,8.0,Onion
2023-06-22,1897.25,8.0,Onion
2023-06-23,1121.25,4.0,Onion
2023-06-24,2353.3333333333335,6.0,Onion
2023-06-25,2891.25,4.0,Onion
2023-06-26,1940.25,8.0,Onion
2023-06-27,2040.5,8.0,Onion
2023-06-28,1250.5714285714287,7.0,Onion
2023-06-29,1350.0,5.0,Onion
2023-06-30,1833.75,8.0,Onion
2023-07-01,1789.0,8.0,Onion
2023-07-02,2130.0,6.0,Onion
2023-07-03,1260.2857142857142,7.0,Onion
2023-07-04,1343.2857142857142,7.0,Onion
2023-07-05,1348.2857142857142,7.0,Onion
2023-07-06,1356.857142857143,7.0,Onion
2023-07-07,1341.142857142857,7.0,Onion
2023-07-08,1624.0,5.0,Onion
2023-07-09,1620.0,5.0,Onion
2023-07-10,1354.857142857143,7.0,Onion
2023-07-11,1334.2857142857142,7.0,Onion
2023-07-12,1343.0,7.0,Onion
2023-07-13,1408.5714285714287,7.0,Onion
2023-07-14,1402.0,7.0,Onion
2023-07-15,1358.5714285714287,7.0,Onion
2023-07-16,1718.0,5.0,Onion
2023-07-17,1716.0,5.0,Onion
2023-07-18,1410.0,7.0,Onion
2023-07-19,1422.857142857143,7.0,Onion
2023-07-20,1676.0,5.0,Onion
2023-07-21,1335.7142857142858,7.0,Onion
2023-07-22,1672.0,5.0,Onion
2023-07-23,1671.0,5.0,Onion
2023-07-24,1380.2857142857142,7.0,Onion
2023-07-25,1372.0,7.0,Onion
2023-07-26,1378.857142857143,7.0,Onion
2023-07-27,1368.2857142857142,7.0,Onion
2023-07-28,1408.5714285714287,7.0,Onion
2023-07-29,1688.75,4.0,Onion
2023-07-30,1588.75,4.0,Onion
2023-07-31,1373.142857142857,7.0,Onion
2023-08-01,2039.375,8.0,Onion
2023-08-02,2051.75,8.0,Onion
2023-08-03,1983.0,8.0,Onion
2023-08-04,1907.625,8.0,Onion
2023-08-05,1978.5714285714287,7.0,Onion
2023-08-06,2358.3333333333335,6.0,Onion
2023-08-07,1889.0,8.0,Onion
2023-08-08,1880.75,8.0,Onion
2023-08-09,2321.6666666666665,6.0,Onion
2023-08-10,2011.5,8.0,Onion
2023-08-11,2038.75,8.0,Onion
2023-08-12,2396.6666666666665,6.0,Onion
2023-08-13,2410.0,6.0,Onion
2023-08-14,1841.25,8.0,Onion
2023-08-15,2497.5,4.0,Onion
2023-08-16,1951.25,8.0,Onion
2023-08-17,2336.6666666666665,6.0,Onion
2023-08-18,1958.25,8.0,Onion
2023-08-19,2233.75,8.0,Onion
2023-08-20,2640.0,6.0,Onion
2023-08-21,2283.75,8.0,Onion
2023-08-22,2289.25,8.0,Onion
2023-08-23,2336.25,8.0,Onion
2023-08-24,2355.0,8.0,Onion
2023-08-25,2340.0,8.0,Onion
2023-08-26,2821.6666666666665,6.0,Onion
2023-08-27,2858.3333333333335,6.0,Onion
2023-08-28,2408.0,8.0,Onion
2023-08-29,1726.0,6.0,Onion
2023-08-30,2147.5,4.0,Onion
2023-08-31,1777.3333333333333,6.0,Onion
2023-09-01,2460.0,8.0,Onion
2023-09-02,2413.25,8.0,Onion
2023-09-03,2903.3333333333335,6.0,Onion
2023-09-04,2334.0,8.0,Onion
2023-09-05,2282.5,8.0,Onion
2023-09-06,2748.3333333333335,6.0,Onion
2023-09-07,2725.0,6.0,Onion
2023-09-08,2277.0,8.0,Onion
2023-09-09,2673.3333333333335,6.0,Onion
2023-09-10,2676.6666666666665,6.0,Onion
2023-09-11,2230.0,8.0,Onion
2023-09-12,2201.75,8.0,Onion
2023-09-13,2150.5,8.0,Onion
2023-09-14,2165.0,8.0,Onion
2023-09-15,1817.6666666666667,6.0,Onion
2023-09-16,2102.5,8.0,Onion
2023-09-17,2796.0,5.0,Onion
2023-09-18,2133.0,8.0,Onion
2023-09-19,2616.6666666666665,6.0,Onion
2023-09-20,2144.5,8.0,Onion
2023-09-21,2234.5,8.0,Onion
2023-09-22,1662.3333333333333,6.0,Onion
2023-09-23,2787.5,4.0,Onion
2023-09-24,1962.5,4.0,Onion
2023-09-25,1987.5,4.0,Onion
2023-09-26,2161.5,8.0,Onion
2023-09-27,2155.0,8.0,Onion
2023-09-28,2441.6666666666665,6.0,Onion
2023-09-29,2161.25,8.0,Onion
2023-09-30,1611.6666666666667,6.0,Onion
2023-10-01,2592.0,5.0,Onion
2023-10-02,2612.0,5.0,Onion
2023-10-03,2138.25,8.0,Onion
2023-10-04,2108.0,8.0,Onion
2023-10-05,2246.5,8.0,Onion
2023-10-06,2153.25,8.0,Onion
2023-10-07,2132.5,8.0,Onion
2023-10-08,2052.5,4.0,Onion
2023-10-09,2221.25,8.0,Onion
2023-10-10,2246.5,8.0,Onion
2023-10-11,2689.875,8.0,Onion
2023-10-12,2639.25,8.0,Onion
2023-10-13,2681.5,8.0,Onion
2023-10-14,3190.0,6.0,Onion
2023-10-15,3464.0,5.0,Onion
2023-10-16,2796.5,8.0,Onion
2023-10-17,2863.75,8.0,Onion
2023-10-18,2865.5,8.0,Onion
2023-10-19,2991.25,8.0,Onion
2023-10-20,3150.0,8.0,Onion
2023-10-21,3103.0,8.0,Onion
2023-10-22,4390.0,4.0,Onion
2023-10-23,4350.0,4.0,Onion
2023-10-24,3548.3333333333335,6.0,Onion
2023-10-25,3390.0,8.0,Onion
2023-10-26,3412.0,8.0,Onion
2023-10-27,3548.75,8.0,Onion
2023-10-28,4320.0,5.0,Onion
2023-10-29,4770.0,5.0,Onion
2023-10-30,3847.5,8.0,Onion
2023-10-31,3983.0,8.0,Onion
2023-11-01,4031.25,8.0,Onion
2023-11-02,4958.333333333333,6.0,Onion
2023-11-03,4370.0,8.0,Onion
2023-11-04,4921.666666666667,6.0,Onion
2023-11-05,4903.333333333333,6.0,Onion
2023-11-06,4082.5,8.0,Onion
2023-11-07,4093.75,8.0,Onion
2023-11-08,3760.5,8.0,Onion
2023-11-09,3998.0,8.0,Onion
2023-11-10,4423.333333333333,6.0,Onion
2023-11-11,4720.0,4.0,Onion
2023-11-12,4983.333333333333,3.0,Onion
2023-11-13,3883.3333333333335,3.0,Onion
2023-11-14,4853.333333333333,6.0,Onion
2023-11-15,5060.0,5.0,Onion
2023-11-16,4835.0,6.0,Onion
2023-11-17,4803.333333333333,6.0,Onion
2023-11-18,4353.0,8.0,Onion
2023-11-19,4791.666666666667,6.0,Onion
2023-11-20,4083.0,8.0,Onion
2023-11-21,3960.5,8.0,Onion
2023-11-22,3852.75,8.0,Onion
2023-11-23,4003.25,8.0,Onion
2023-11-24,4345.0,6.0,Onion
2023-11-25,4341.666666666667,6.0,Onion
2023-11-26,4717.5,4.0,Onion
2023-11-27,4276.666666666667,6.0,Onion
2023-11-28,3870.5,8.0,Onion
2023-11-29,3840.0,8.0,Onion
2023-11-30,3723.75,8.0,Onion
2023-12-01,4268.333333333333,6.0,Onion
2023-12-02,3628.0,8.0,Onion
2023-12-03,4350.0,5.0,Onion
2023-12-04,3671.25,8.0,Onion
2023-12-05,3664.25,8.0,Onion
2023-12-06,4161.666666666667,6.0,Onion
2023-12-07,3926.75,8.0,Onion
2023-12-08,3760.5,8.0,Onion
2023-12-09,4250.0,6.0,Onion
2023-12-10,4452.5,4.0,Onion
